"Med_Age.YR2021","Death.YR2021"
41.2,11.235
16.7,7.344
16.2,8.009
37.3,11.325
42.5,0
32.8,1.874
31.3,8.955
34.4,13.007
27.6,0
34.7,6.365
37,6.7
42.8,10.3
31.4,7.6
15.6,7.474
40.9,9.7
17.5,9.434
16.6,8.958
26.3,5.68
44.5,21.7
32.7,2.479
32.4,8.986
41.8,15.712
40.2,16.544
25.2,6.353
44.9,11.3
23.9,9.945
32.8,8.326
38.9,9.007
31.8,5.211
28.2,6.477
23.5,9.461
14.7,11.393
40.2,7.8
41.8,8.2
34.9,7.426
37.9,7.18
17.6,9.001
17.5,8.582
15.6,9.7
18.2,7.063
30.8,7.735
20.1,8.718
26.5,6.028
32.9,7.192
41.2,14.652
36,11.1
37.2,4
37.6,7.257
42.6,13.3
44.9,12.3
23.7,9.147
31.6,8.986
41.3,9.8
27.1,6.678
27.8,4.546
27.6,6.719
23.9,6.327
18.2,6.729
43.9,9.5
41.5,14
18.5,6.776
42.4,10.4
26.8,8.859
41.6,9.7
37.9,8.1
23.4,6.211
21.6,7.258
39.6,9.7
36.4,15.166
20.4,7.627
41.7,11.546
17.7,9.99
16.8,7.543
18.3,8.716
20.9,9.042
44.7,13.5
30.8,8.151
33.9,9.4
22.1,6.504
29.8,7.337
25.5,9.987
40.7,10.0207542950942
44.9,6.9
23.4,5.608
43.7,16.2
23,8.676
42.7,16.1
29.4,10.065
45.3,10.604
27.6,9.448
37.6,6.6
31.9,6.437
19.8,4.753
35.9,6.3
29,5.4
46.8,12
30.8,8.797
23.4,3.868
48.4,11.7
29.5,9.61
19.2,8.056
23.7,5.8
26.5,6.838
21.9,6.236
34,10.181
43.4,6.2
38.3,2.906
23.8,6.613
28.3,8.271
17.9,8.838
26.3,6.018
33.1,10.299
30.3,8.42724667880345
19.2,7.60189255326166
17.6,7.96338277301322
43.7,6.9
32.5,7.36
25.6,8.65114551970511
22.1,14.186
43.7,17
38.7,7
43.6,18.4
37.6,4.111
38.2,4.911
28.7,6.17
54.5,0
36.1,16.36
19,7.104
30.6,3.02
29,9.406
25,7.556
38.3,15.5
15.1,9.274
39,8
29,9.769
38.2,14.8
26.8,6.131
38.7,0
16.8,8.793
17.6,7.44
36.8,10.5
16.8,6.983
29.9,6.034
21.3,10.709
33.2,7.2
14.5,8.141
17,13.083
24.5,4.859
41.7,9.8
39.3,7.8
23.7,7.776
20.3,6.633
36.5,6.83
28.8,3.796
20.2,7.168
28.8,6.067
28.2,7.988
24.5,7.311
35.7,10.2
21.8,6.683
40.9,13.8
44,8.6
35.6,9.313
45,12.1
25.6,7.638
19.2,3.815
33,5.376
33,1.311
41.9,17.5
38.8,16.7
19,6.28
29.8,2.864
18.4,6.799
17.8,5.922
41.8,5.8
19.3,5.028
18.8,9.113
26.3,8.661
46.3,9.1
15.2,11.596
42.9,20
16.1,11.05
18.4,6.387
27.9,8.667
40.6,13.5
43.2,11
39.5,8.8
21.5,11.356
46.5,6.4
32.5,9.3
20.9,5.117
37.4,9.241
15,12.504
18.7,8.168
39.3,7.922
21.5,4.548
25.8,6.585
20.3,7.233
21.6,6.97
35.5,9.131
31.7,7.884
30.9,6.398
25,10.159
16.8,6.222
15.9,5.877
40.8,18.5
35.1,8.42034866948572
35.2,12.162
37.7,10.4
26.6,5
33,13.425
28.1,8.124
38.2,7.613
42.7,8.6
32,7.317
19.5,5.395
30,8.7237749917148
20.6,5.343
30.5,7.22
18.7,6.845
27.1,11.432
16.9,6.973
18.1,9.057
